match_id,team_1,team_2,stage,match_date,kickoff_time,match_datetime,venue,status,kickoff_time_ist
90,W75,W76,Round of 16,2026-07-04,17:00,2026-07-04 17:00:00,"Lincoln Financial Field; Philadelphia, PA",Scheduled,02:30
91,W77,W78,Round of 16,2026-07-05,16:00,2026-07-05 16:00:00,"MetLife Stadium; East Rutherford, NJ",Scheduled,01:30
92,W79,W80,Round of 16,2026-07-05,20:00,2026-07-05 20:00:00,"Estadio Azteca; Mexico City, MEX",Scheduled,05:30
93,W81,W82,Round of 16,2026-07-06,15:00,2026-07-06 15:00:00,"AT&T Stadium; Arlington, TX",Scheduled,00:30
94,W83,W84,Round of 16,2026-07-06,20:00,2026-07-06 20:00:00,"Lumen Field; Seattle, WA",Scheduled,05:30
95,W85,W86,Round of 16,2026-07-07,12:00,2026-07-07 12:00:00,"Mercedes-Benz Stadium; Atlanta, GA",Scheduled,21:30
96,W87,W88,Round of 16,2026-07-07,16:00,2026-07-07 16:00:00,"BC Place; Vancouver, CAN",Scheduled,01:30
97,QF1,QF2,Quarterfinals,2026-07-09,16:00,2026-07-09 16:00:00,"Gillette Stadium; Foxborough, MA",Scheduled,01:30
98,QF3,QF4,Quarterfinals,2026-07-10,15:00,2026-07-10 15:00:00,"SoFi Stadium; Inglewood, CA",Scheduled,00:30
99,QF5,QF6,Quarterfinals,2026-07-11,17:00,2026-07-11 17:00:00,"Hard Rock Stadium; Miami, FL",Scheduled,02:30
100,QF7,QF8,Quarterfinals,2026-07-11,21:00,2026-07-11 21:00:00,"Arrowhead Stadium; Kansas City, MO",Scheduled,06:30
101,SF1,SF2,Semifinals,2026-07-14,15:00,2026-07-14 15:00:00,"AT&T Stadium; Arlington, TX",Scheduled,00:30
102,SF3,SF4,Semifinals,2026-07-15,15:00,2026-07-15 15:00:00,"Mercedes-Benz Stadium; Atlanta, GA",Scheduled,00:30
103,TPI,TPJ,Third Place Match,2026-07-18,17:00,2026-07-18 17:00:00,"Hard Rock Stadium; Miami, FL",Scheduled,02:30
104,FIN1,FIN2,Final,2026-07-19,15:00,2026-07-19 15:00:00,"MetLife Stadium; East Rutherford, NJ",Scheduled,00:30
